State,Wave 1 Week Id,Wave 2 Week Id,Wave 1 Month Id,Wave 2 Month Id
Uttar Pradesh,week51,week116,month6,month14
Gujarat,week74,week117,month9,month14
Punjab,week53,week120,month7,month14
Rajasthan,week73,week119,month9,month14
Andhra Pradesh,week49,week122,month6,month15
Tamil Nadu,week38,week124,month6,month15
Andaman and Nicobar Islands,week43,week117,month6,month14
Delhi,week69,week115,month9,month14
Kerala,week59,week120,month8,month15
Ladakh,week59,week114,month9,month14
Nagaland,week40,week122,month8,month15
Haryana,week52,week119,month9,month14
Sikkim,week55,week125,month7,month15
Chandigarh,week52,week119,month7,month14
Telangana,week48,week117,month6,month14
Mizoram,week69,week143,month8,month11
Jharkhand,week49,week116,month6,month14
Dadra and Nagar Haveli and Daman and Diu,week43,week115,month5,month14
Meghalaya,week58,week124,month7,month15
Jammu and Kashmir,week52,week120,month7,month15
Manipur,week62,week142,month8,month15
West Bengal,week64,week121,month8,month15
Chhattisgarh,week53,week116,month7,month14
Madhya Pradesh,week54,week116,month7,month14
Maharashtra,week51,week115,month7,month14
Himachal Pradesh,week75,week120,month9,month15
Arunachal Pradesh,week56,week141,month7,month15
Puducherry,week55,week122,month7,month15
Tripura,week50,week124,month6,month15
Odisha,week55,week124,month7,month15
Karnataka,week59,week119,month7,month14
Goa,week49,week120,month7,month14
Bihar,week43,week118,month5,month14
Uttarakhand,week53,week120,month7,month14
Assam,week49,week123,month6,month15
