State,Time Id,Dose 1,Dose 2
Andaman and Nicobar Islands,Overall,238179.0,99658.0
Andhra Pradesh,Overall,19263751.0,6832764.0
Arunachal Pradesh,Overall,708575.0,209867.0
Assam,Overall,12663455.0,2686603.0
Bihar,Overall,26940956.0,5253090.0
Chandigarh,Overall,768189.0,268209.0
Chhattisgarh,Overall,9640675.0,2971605.0
Dadra and Nagar Haveli and Daman and Diu,Overall,606106.0,105012.0
Delhi,Overall,8777612.0,3460283.0
Goa,Overall,1131653.0,355685.0
Gujarat,Overall,31982463.0,10330280.0
Haryana,Overall,11077161.0,3481436.0
Himachal Pradesh,Overall,5215169.0,1600586.0
Jammu and Kashmir,Overall,5732758.0,1649191.0
Jharkhand,Overall,9239728.0,2286210.0
Karnataka,Overall,27885291.0,8384495.0
Kerala,Overall,18848332.0,6859038.0
Ladakh,Overall,190179.0,75603.0
Lakshadweep,Overall,51953.0,19104.0
Madhya Pradesh,Overall,33201134.0,6486142.0
Maharashtra,Overall,38220286.0,13672770.0
Manipur,Overall,1181164.0,292424.0
Meghalaya,Overall,994954.0,278352.0
Mizoram,Overall,665634.0,225827.0
Nagaland,Overall,645807.0,179685.0
Odisha,Overall,15630632.0,4792823.0
Puducherry,Overall,623858.0,164068.0
Punjab,Overall,9094455.0,2807178.0
Rajasthan,Overall,29808272.0,9487035.0
Sikkim,Overall,503326.0,164078.0
Tamil Nadu,Overall,22813071.0,5213497.0
Telangana,Overall,12495741.0,4269407.0
Tripura,Overall,2443917.0,842363.0
Uttar Pradesh,Overall,53292226.0,9832522.0
Uttarakhand,Overall,5826433.0,1825566.0
West Bengal,Overall,25982305.0,9750333.0
