State,Vaccination Ratio (F/M),Population Ratio (F/M),Ratio Of Ratio
Andhra Pradesh,0.8389666841117998,0.9928487357825875,0.8450095708189685
Kerala,0.9205957531217346,1.0843078720382304,0.8490169414626146
Puducherry,0.9495083173892548,1.037437694996498,0.9152437027964941
Chhattisgarh,1.0141434697240885,0.9906028998133313,1.0237638814859045
Tamil Nadu,1.0208259222587697,0.9964325615920648,1.0244806940348576
Himachal Pradesh,1.0027035820525534,0.9715256702355313,1.0320917015084774
Karnataka,1.0099928245169603,0.9729380862777665,1.038085402105037
Mizoram,1.018349320093184,0.975740943819901,1.0436677137955046
Uttarakhand,1.0485284882539112,0.9631641958490575,1.0886290133839562
Tripura,1.0502867572189298,0.9600747128644412,1.093963566736734
Meghalaya,1.117939415925993,0.9887554362689632,1.1306531169573149
Odisha,1.1143767925608554,0.9787831833625807,1.1385328349557937
Assam,1.116200566896036,0.9577582478885868,1.165430388468845
West Bengal,1.1180906831902684,0.9499682187369543,1.1769769357935407
Manipur,1.1692548969980747,0.9851395745544583,1.186892626384322
Rajasthan,1.1059492498785564,0.9281720003520576,1.1915348119304046
Goa,1.163245689538828,0.9733000514110994,1.1951563013403148
Bihar,1.145579596227631,0.9178884795222505,1.2480596736805007
Madhya Pradesh,1.1777107408582077,0.9309320997228939,1.265087691367363
Lakshadweep,1.2019312965015039,0.9464722398333484,1.2699065497294837
Maharashtra,1.185672818383986,0.9294031034360559,1.2757358072083969
Jharkhand,1.2160499658995345,0.9484654597389357,1.2821236170627144
Gujarat,1.2026226175118988,0.9192528974705998,1.308260894059746
Arunachal Pradesh,1.240821892582611,0.9382318829211443,1.3225109007374232
Sikkim,1.2006555317592107,0.8899216887980933,1.3491698728916102
Punjab,1.2532169771739117,0.8951060028491479,1.400076609010426
Uttar Pradesh,1.2832425015939586,0.9124365013149343,1.4063910198075666
Haryana,1.2387770350675311,0.8786188745921186,1.409913980783316
Nagaland,1.3291071670739907,0.9309070715923209,1.4277549366990485
Chandigarh,1.325048033023893,0.8176636017793454,1.6205295553579873
