State,ratio
Delhi,3.2224026619649226
Telangana,3.9360696093231233
Jharkhand,5.095742336948367
Andhra Pradesh,5.129828417390091
Tamil Nadu,5.5328409170434885
Haryana,5.953967985179986
Punjab,6.4452668644020985
Karnataka,6.515258971838102
Maharashtra,6.579185817982559
Odisha,6.60186895755626
West Bengal,6.645782498225505
Rajasthan,6.991658945835994
Assam,7.006831531602256
Uttar Pradesh,7.4635881769032775
Chhattisgarh,7.725635208385684
Madhya Pradesh,7.758749864247849
Bihar,7.8442210522377795
Gujarat,8.362065346344275
Kerala,9.027857491328223
Uttarakhand,12.731979218387655
Jammu and Kashmir,26.31155848290836
Tripura,48.197015420828684
Goa,51.16299081640032
Chandigarh,214.97393992932862
Himachal Pradesh,1947.0027132951461
Puducherry,10451.891891891892
Dadra and Nagar Haveli and Daman and Diu,14654.340425531915
Andaman and Nicobar Islands,inf
Arunachal Pradesh,inf
Ladakh,inf
Lakshadweep,inf
Manipur,inf
Meghalaya,inf
Mizoram,inf
Nagaland,inf
Sikkim,inf
